Pos,Name,BV,SV,Team,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts
F,Simms,4.5,4.5,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Mbete,3.9,3.9,Man City,1,0.035,0,0,0,0,2,0.071,0,0,1,0.037,1,0.031,2,0.072
D,Wilson-Esbrand,3.9,3.9,Man City,0,0,1,0.035,0,0,1,0.035,0,0,0,0,2,0.063,3,0.11
M,Lavia,4.4,4.4,Man City,1,0.054,1,0.054,1,0.053,1,0.053,0.1,0.002,1,0.054,1,0.05,1,0.051
G,Bettinelli,4.0,4.0,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Dobbin,4.5,4.5,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Hjelde,4.0,4.0,Leeds,3.5,0.152,1.7,0.083,1.65,0.07400000000000001,2.1,0.138,2,0.051,0.55,0.029,1.1,0.059000000000000004,2,0.042
M,Anderson,4.5,4.5,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Bogarde,4.0,4.0,Aston Villa,1,0.034,0.3666666666666667,0.027,0.7733333333333334,0.063,0.4033333333333334,0.027000000000000003,1,0.026,0.8066666666666668,0.06,0.8066666666666668,0.06,3,0.063
G,Moulden,4.0,4.0,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Sarmiento,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0.1,0.001,0.555,0.053,0,0,1,0.046
M,Whitaker,4.5,4.5,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Maghoma,4.5,4.5,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Slicker,4.0,4.0,Man City,0,0,0,0,1,0.048,0,0,0,0,0,0,0,0,0,0
G,Tyrer,4.0,4.0,Everton,0,0,0,0,0.055,0.01,0.0275,0.005,0.35,0.015,0.32750000000000007,0.05099999999999999,0.32750000000000007,0.052,2,0.084
D,Ashby,4.0,4.0,West Ham,0,0,1,0.033,0,0,0,0,0.18,0.002,1,0.032,3,0.095,1,0.035
D,Nkoulou,4.4,4.4,Watford,0,0,0,0,0,0,1,0.053,8.049999999999999,0.263,32.45,0.8200000000000001,31.35,1.9989999999999999,52,2.005
G,Cox,4.0,4.0,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Morton,4.5,4.5,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Storer,4.0,4.0,Wolves,0,0,0.5,0.04,0.6,0.055,0.5,0.042,1,0.044,1.1,0.09899999999999999,1.1,0.09599999999999999,1,0.037
F,Tosun,5.0,5.0,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Welch,4.0,4.0,Everton,1,0.025,3,0.056,1.16,0.101,0.605,0.068,0.35,0.006,0.6550000000000001,0.05600000000000001,0.32750000000000007,0.030000000000000006,0,0
M,Bate,4.5,4.5,Leeds,0.5,0.045,0.55,0.05,0.05,0.002,0.05,0.002,0,0,0.55,0.051000000000000004,0.55,0.05,1,0.046
M,Gordon,4.5,4.5,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Bradley,4.0,4.0,Liverpool,0,0,0,0,1,0.034,1.09,0.07,0.2,0.004,0.525,0.038,0.525,0.024,2,0.065
D,Beck,4.0,4.0,Liverpool,0,0,0,0,0,0,0.18,0.006,0.2,0.004,1.05,0.077,1.05,0.048,2,0.065
M,Haygarth,4.5,4.5,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,McAtee,4.4,4.4,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Onyango,4.5,4.5,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Jenkins,4.5,4.5,Leeds,1,0.093,0.5,0.048,0.05,0.002,0,0,1,0.046,0.55,0.051000000000000004,0.55,0.05,0,0
D,Jones,4.5,4.5,Man Utd,0,0,0,0,0,0,0,0,0,0,2,0.091,0,0,1,0.053
D,Morris,4.0,4.0,Watford,0,0,0,0,0,0,0,0,0.35,0.006,0.55,0.013999999999999999,0.55,0.028,1,0.03
M,Perkins,4.5,4.5,West Ham,1,0.051,2,0.096,2,0.09,1,0.05,0.36,0.007,2,0.101,3,0.143,2,0.102
D,Bueno,4.0,4.0,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Diallo,5.0,5.0,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Lewis,3.9,3.9,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Iroegbunam,4.5,4.5,Aston Villa,1,0.051,0.3666666666666667,0.049,0.7366666666666667,0.10300000000000001,0.4033333333333334,0.051000000000000004,1,0.048,0.4033333333333334,0.051000000000000004,0.4033333333333334,0.052000000000000005,1,0.046
D,Daley-Campbell,4.0,4.0,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Young-Coombes,4.5,4.5,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Caballero,4.3,4.3,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Angelini,4.0,4.0,Watford,0,0,0,0,0,0,0,0,0,0,0.55,0.039999999999999994,0,0,0,0
D,Tomkinson,4.0,4.0,Norwich,0,0,0,0,0,0,1.015,0.048,0,0,0.545,0.025,0.545,0.033,1,0.019
D,Alese,4.0,4.0,West Ham,0,0,1,0.033,1,0.019,1,0.031,0.18,0.002,1,0.032,1,0.031,1,0.035
D,Nelson,4.0,4.0,Leicester,1,0.027,1,0.028,0.5199999999999999,0.059000000000000004,0.2625,0.021,1,0.031,0,0,0,0,0,0
M,Brunt,4.5,4.5,Leicester,0,0,1,0.049,0.2625,0.051,0.265,0.048,1,0.05,0.39333333333333337,0.051000000000000004,0.7866666666666667,0.10600000000000001,2,0.097
M,McAteer,4.5,4.5,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Rowe,4.4,4.4,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.045
F,Dickson-Peters,4.5,4.5,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Marschall,4.0,4.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Egan-Riley,4.0,4.0,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Oko-Flex,4.4,4.4,West Ham,0,0,2,0.096,2,0.09,2,0.099,0.54,0.01,3,0.15,3,0.143,3,0.152
D,Turns,4.0,4.0,Brighton,0,0,0,0,0,0,0,0,0.1,0,0,0,0.555,0.026000000000000002,1,0.024
M,Leonard,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Ferguson,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Pitaluga,4.0,4.0,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.525,0.04,1,0.045
